latitude,longitude,ward,ground_deformation_mm,building_density,hospital_distance_m,school_distance_m,historical_movement_mm,elevation_m,slope_deg
30.549363502971183,79.57270664714918,Singhdhar Ward,48.11,590,763,138,35.14,1972,27
30.56376785766025,79.55598904726668,Manohar Bagh,26.8,1253,1293,1181,22.04,1999,43
30.558299848545285,79.55362237180228,Manohar Bagh,19.44,2934,397,289,14.0,1912,39
30.554966462104925,79.56223631900694,Manohar Bagh,20.87,1323,978,1033,15.25,1857,26
30.54390046601106,79.57464126135277,Gandhinagar,15.36,1314,1222,179,11.65,1963,17
30.543899863008406,79.55605138178778,Parsari,18.11,2182,1605,146,14.29,1813,29
30.541452090304205,79.56680338868514,Manohar Bagh,32.23,970,1020,1135,28.6,1815,22
30.561654403644376,79.56904049038322,Sunil Ward,8.86,857,1021,767,6.21,1921,42
30.55502787529358,79.5559409385998,Gandhinagar,5.33,1039,781,968,4.75,1991,41
30.5577018144449,79.5682054087153,Singhdhar Ward,60.89,1724,978,560,49.04,1956,27
30.540514612357395,79.55919457831799,Sunil Ward,4.44,1297,1315,1374,2.72,1918,38
30.56424774630405,79.56580764576483,Singhdhar Ward,63.31,2324,423,1188,47.11,1976,25
30.560811066020012,79.56583824276902,Singhdhar Ward,27.87,1188,1534,204,20.19,1928,35
30.545308477766955,79.56339436710186,Parsari,25.83,1017,525,808,23.25,1901,17
30.544545624180177,79.55225724425136,Ravigram,27.13,1213,1531,182,18.29,1877,23
30.544585112746336,79.57088256238973,Gandhinagar,17.5,2401,50,150,11.94,1803,44
30.547606056073988,79.55801950162429,Sunil Ward,17.69,2581,1421,194,11.22,1953,40
30.553118910790808,79.55466296275999,Singhdhar Ward,49.94,1173,487,217,42.42,1849,26
30.550798625466054,79.55101937853887,Singhdhar Ward,39.37,1752,902,677,33.13,1902,20
30.54728072850495,79.5647723235797,Singhdhar Ward,70.39,1263,787,905,55.08,1881,44
30.55529632236806,79.56693910904606,Manohar Bagh,8.05,2517,1381,348,6.07,1878,42
30.5434873465163,79.55041469572319,Gandhinagar,15.93,1041,808,1229,13.68,1932,43
30.54730361621338,79.56280232645749,Gandhinagar,1.37,568,595,152,0.97,1925,25
30.54915904608234,79.55566239437995,Singhdhar Ward,44.44,542,1825,210,28.39,1982,30
30.551401749605425,79.56612931976024,Parsari,6.19,2219,330,1318,5.34,1954,43
30.559629399034826,79.55435916072513,Gandhinagar,18.9,1171,110,733,12.61,1820,19
30.54499184455396,79.56727344345256,Manohar Bagh,4.76,1928,887,744,3.51,1889,28
30.552855860960342,79.55966838365751,Manohar Bagh,4.59,2468,1151,1196,2.88,1846,39
30.554810364221552,79.57341824971842,Sunil Ward,15.98,606,880,147,9.88,1825,18
30.541161260318,79.55343802360365,Singhdhar Ward,64.73,1780,57,724,50.44,1979,29
30.555188621297535,79.55852665877626,Sunil Ward,21.4,1025,523,127,15.21,1929,27
30.54426310309218,79.55283683803101,Gandhinagar,15.55,1025,748,1435,9.95,1802,29
30.54162628982463,79.57311734045696,Singhdhar Ward,49.72,2031,1347,905,37.78,1814,39
30.563722138431334,79.57193348383453,Singhdhar Ward,51.51,2154,534,127,31.22,1984,31
30.564140800826866,79.55644854069288,Singhdhar Ward,38.53,1036,194,1335,28.6,1937,17
30.56020993370291,79.56649960115085,Singhdhar Ward,34.18,732,158,1269,21.4,1910,36
30.547615344229335,79.57043055500503,Ravigram,27.18,2972,662,791,21.58,1986,38
30.54244180285016,79.56388002028999,Gandhinagar,19.31,2862,926,1412,11.63,1820,20
30.557105825662806,79.5632412644589,Sunil Ward,13.35,2897,1680,922,11.38,1930,33
30.55100381234349,79.55604630727251,Singhdhar Ward,22.22,1563,278,647,19.98,1805,16
30.54305095587112,79.55232756919514,Sunil Ward,21.38,2370,695,217,14.48,1978,44
30.552379422752782,79.57243039394884,Sunil Ward,16.16,1964,243,946,12.29,1825,33
